State,Date,Cases,Recovered,Active,Deaths
Uttar Pradesh,19/08/2021,1709025,1685819,419,22787
West Bengal,19/08/2021,1540258,1512218,9715,18325
Andaman and Nicobar Islands,20/08/2021,7553,7419,5,129
Andhra Pradesh,20/08/2021,1998603,1969169,15738,13696
Arunachal Pradesh,20/08/2021,51919,50100,1564,255
Assam,20/08/2021,582750,568916,8296,5538
Bihar,20/08/2021,725549,715721,179,9649
Chandigarh,20/08/2021,62051,61196,44,811
Chhattisgarh,20/08/2021,1003995,989485,959,13551
Dadra and Nagar Haveli and Daman and Diu,20/08/2021,10657,10649,4,4
Delhi,20/08/2021,1437217,1411690,448,25079
Goa,20/08/2021,172846,168764,902,3180
Gujarat,20/08/2021,825255,814994,183,10078
Haryana,20/08/2021,770291,759956,671,9664
Himachal Pradesh,20/08/2021,211277,205055,2663,3559
Jammu and Kashmir,20/08/2021,323792,318283,1109,4400
Jharkhand,20/08/2021,347690,342335,223,5132
Karnataka,20/08/2021,2934624,2876377,21159,37088
Kerala,20/08/2021,3766573,3567492,179835,19246
Ladakh,20/08/2021,20480,20192,81,207
Lakshadweep,20/08/2021,10301,10215,35,51
Madhya Pradesh,20/08/2021,792081,781471,95,10515
Maharashtra,20/08/2021,6411570,6214921,61082,135567
Manipur,20/08/2021,109843,102603,5508,1732
Meghalaya,20/08/2021,72985,68307,3421,1257
Mizoram,20/08/2021,50959,43145,7624,190
Nagaland,20/08/2021,29390,27758,1024,608
Odisha,20/08/2021,998187,982319,8714,7154
Puducherry,20/08/2021,122676,119899,971,1806
Punjab,20/08/2021,600123,583205,571,16347
Rajasthan,20/08/2021,953981,944874,153,8954
Sikkim,20/08/2021,29075,26905,1806,364
Tamil Nadu,20/08/2021,2595935,2541432,19864,34639
Telangana,20/08/2021,654035,643318,6865,3852
Tripura,20/08/2021,81826,79634,1407,785
Uttarakhand,20/08/2021,342701,334983,342,7376
Uttar Pradesh,20/08/2021,1709050,1685854,407,22789
West Bengal,20/08/2021,1540989,1512999,9653,18337
Andaman and Nicobar Islands,21/08/2021,7556,7419,8,129
Andhra Pradesh,21/08/2021,2000038,1970864,15472,13702
Arunachal Pradesh,21/08/2021,52044,50317,1470,257
Assam,21/08/2021,583458,569650,8257,5551
Bihar,21/08/2021,725560,715742,169,9649
Chandigarh,21/08/2021,62056,61201,43,812
Chhattisgarh,21/08/2021,1004043,989560,931,13552
Dadra and Nagar Haveli and Daman and Diu,21/08/2021,10657,10650,3,4
Delhi,21/08/2021,1437274,1411736,459,25079
Goa,21/08/2021,172966,168878,906,3182
Gujarat,21/08/2021,825272,815008,186,10078
Haryana,21/08/2021,770312,759972,675,9665
Himachal Pradesh,21/08/2021,211432,205457,2413,3562
Jammu and Kashmir,21/08/2021,323951,318409,1141,4401
Jharkhand,21/08/2021,347707,342360,215,5132
Karnataka,21/08/2021,2936077,2877785,21187,37105
Kerala,21/08/2021,3786797,3584634,182818,19345
Ladakh,21/08/2021,20483,20204,72,207
Lakshadweep,21/08/2021,10306,10222,33,51
Madhya Pradesh,21/08/2021,792089,781479,95,10515
Maharashtra,21/08/2021,6415935,6221305,58958,135672
Manipur,21/08/2021,110215,104173,4303,1739
Meghalaya,21/08/2021,73217,68583,3373,1261
Mizoram,21/08/2021,51604,44368,7044,192
Nagaland,21/08/2021,29482,27841,1032,609
Odisha,21/08/2021,999173,983245,8705,7223
Puducherry,21/08/2021,122773,120004,963,1806
Punjab,21/08/2021,600180,583291,538,16351
Rajasthan,21/08/2021,953995,944886,155,8954
Sikkim,21/08/2021,29157,27087,1706,364
Tamil Nadu,21/08/2021,2597603,2543319,19621,34663
Telangana,21/08/2021,654394,643812,6728,3854
Tripura,21/08/2021,81941,79871,1285,785
Uttarakhand,21/08/2021,342716,335007,333,7376
Uttar Pradesh,21/08/2021,1709076,1685877,408,22791
West Bengal,21/08/2021,1541747,1513766,9635,18346
Andaman and Nicobar Islands,22/08/2021,7557,7419,9,129
Andhra Pradesh,22/08/2021,2001255,1972399,15141,13715
Arunachal Pradesh,22/08/2021,52165,50526,1382,257
Assam,22/08/2021,584098,570308,8224,5566
Bihar,22/08/2021,725568,715772,147,9649
Chandigarh,22/08/2021,62062,61206,44,812
Chhattisgarh,22/08/2021,1004117,989668,897,13552
Dadra and Nagar Haveli and Daman and Diu,22/08/2021,10659,10651,4,4
Delhi,22/08/2021,1437293,1411784,430,25079
Goa,22/08/2021,173088,168989,915,3184
Gujarat,22/08/2021,825287,815024,184,10079
Haryana,22/08/2021,770331,759990,675,9666
Himachal Pradesh,22/08/2021,211632,205793,2276,3563
Jammu and Kashmir,22/08/2021,324095,318535,1159,4401
Jharkhand,22/08/2021,347725,342380,213,5132
Karnataka,22/08/2021,2937427,2879433,20871,37123
Kerala,22/08/2021,3803903,3605480,178995,19428
Ladakh,22/08/2021,20491,20216,68,207
Lakshadweep,22/08/2021,10308,10231,26,51
Madhya Pradesh,22/08/2021,792096,781493,88,10515
Maharashtra,22/08/2021,6420510,6227219,57474,135817
Manipur,22/08/2021,110657,104771,4139,1747
Meghalaya,22/08/2021,73448,69043,3136,1269
Mizoram,22/08/2021,52180,45418,6568,194
